"AorS" "TraintBodyAccMeanX" "TraintBodyAccMeanY" "TraintBodyAccMeanZ" "TraintBodyAccStdX" "TraintBodyAccStdY" "TraintBodyAccStdZ" "TraintGravAccMeanX" "TraintGravAccMeanY" "TraintGravAccMeanZ" "TraintGravAccStdX" "TraintGravAccStdY" "TraintGravAccStdZ" "TraintBodyACCJMeanX" "TraintBodyACCJMeanY" "TraintBodyACCJMeanZ" "TraintBodyACCJStdX" "TraintBodyACCJStdY" "TraintBodyACCJStdZ" "TraintBodyGyroMeanX" "TraintBodyGyroMeanY" "TraintBodyGyroMeanZ" "TraintBodyGyroStdX" "TraintBodyGyroStdY" "TraintBodyGyroStdZ" "TraintBodyGyroJMeanX" "TraintBodyGyroJMeanY" "TraintBodyGyroJMeanZ" "TraintBodyGyroJStdX" "TraintBodyGyroJStdY" "TraintBodyGyroJStdZ" "TraintBodyAccMMean" "TraintBodyAccMStd" "TraintGravAccMStd" "TraintGravAccMMean" "TraintBodyAccJMMean" "TraintBodyAccJMStd" "TraintBodyGyroMMean" "TraintBodyGyroMStd" "TraintBodyGyroJMMean" "TraintBodyGyroJMStd" "TrainfBodyAccMeanX" "TrainfBodyAccMeaY" "TrainfBodyAccMeaZ" "TrainfBodyAccStdX" "TrainfBodyAccStdY" "TrainfBodyAccStdZ" "TrainfBodyAccJMeanX" "TrainfBodyAccJMeanY" "TrainfBodyAccJMeanZ" "TrainfBodyAccJStdX" "TrainfBodyAccJStdY" "TrainfBodyAccJStdZ" "TrainfBodyGryroMeanX" "TrainfBodyGryroMeanY" "TrainfBodyGryroMeanZ" "TrainfBodyGryroStdX" "TrainfBodyGryroStdY" "TrainfBodyGryroStdZ" "TrainfBodyAccMMean" "TrainfBodyAccMStd" "TrainfBody2AccJMMean" "TrainfBody2AccJMStd" "TrainfBody2GyroMMean" "TrainfBody2GyroMStd" "TrainfBody2GyroJMMean" "TrainfBody2GyroJMStd" "TesttBodyAccMeanX" "TesttBodyAccMeanY" "TesttBodyAccMeanZ" "TesttBodyAccStdX" "TesttBodyAccStdY" "TesttBodyAccStdZ" "TesttGravAccMeanX" "TesttGravAccMeanY" "TesttGravAccMeanZ" "TesttGravAccStdX" "TesttGravAccStdY" "TesttGravAccStdZ" "TesttBodyACCJMeanX" "TesttBodyACCJMeanY" "TesttBodyACCJMeanZ" "TesttBodyACCJStdX" "TesttBodyACCJStdY" "TesttBodyACCJStdZ" "TesttBodyGyroMeanX" "TesttBodyGyroMeanY" "TesttBodyGyroMeanZ" "TesttBodyGyroStdX" "TesttBodyGyroStdY" "TesttBodyGyroStdZ" "TesttBodyGyroJMeanX" "TesttBodyGyroJMeanY" "TesttBodyGyroJMeanZ" "TesttBodyGyroJStdX" "TesttBodyGyroJStdY" "TesttBodyGyroJStdZ" "TesttBodyAccMMean" "TesttBodyAccMStd" "TesttGravAccMStd" "TesttGravAccMMean" "TesttBodyAccJMMean" "TesttBodyAccJMStd" "TesttBodyGyroMMean" "TesttBodyGyroMStd" "TesttBodyGyroJMMean" "TesttBodyGyroJMStd" "TestfBodyAccMeanX" "TestfBodyAccMeaY" "TestfBodyAccMeaZ" "TestfBodyAccStdX" "TestfBodyAccStdY" "TestfBodyAccStdZ" "TestfBodyAccJMeanX" "TestfBodyAccJMeanY" "TestfBodyAccJMeanZ" "TestfBodyAccJStdX" "TestfBodyAccJStdY" "TestfBodyAccJStdZ" "TestfBodyGryroMeanX" "TestfBodyGryroMeanY" "TestfBodyGryroMeanZ" "TestfBodyGryroStdX" "TestfBodyGryroStdY" "TestfBodyGryroStdZ" "TestfBodyAccMMean" "TestfBodyAccMStd" "TestfBody2AccJMMean" "TestfBody2AccJMStd" "TestfBody2GyroMMean" "TestfBody2GyroMStd" "TestfBody2GyroJMMean" "TestfBody2GyroJMStd"
"WALKING" 0.276260200872757 -0.0177677108511182 -0.108884089505465 -0.312641276860938 -0.0202716892534421 -0.246279194916452 0.933317070057096 -0.199518178897227 -0.0649048773550457 -0.977509136933116 -0.966631852120718 -0.952444776696574 0.0781529317778793 0.0121226741316897 -0.00375555256860603 -0.282116881167088 -0.104970427937531 -0.461915637480408 -0.0312533147691762 -0.0713125942324959 0.0841943988581277 -0.461290098708157 -0.325584920802455 -0.32080957637553 -0.0968968860162643 -0.0443103427345922 -0.0524042952439478 -0.361232566109217 -0.502931986096003 -0.440865118262072 -0.16078708767832 -0.33054317771252 -0.33054317771252 -0.16078708767832 -0.243182988691175 -0.22122673901031 -0.257203964799315 -0.36096832426354 -0.450009825369331 -0.487888281890326 -0.299246289954772 -0.0400579863409135 -0.320268879986729 -0.319449560903263 -0.0733724623492251 -0.267572362684095 -0.321121167768654 -0.173139305678834 -0.434049963153246 -0.306296265538255 -0.0916769810447162 -0.488938910530661 -0.342625352351713 -0.373186450008817 -0.299156019251648 -0.501130832201272 -0.305965827883026 -0.392421798877651 -0.274583992340065 -0.469706683062806 -0.220474636401958 -0.229687911080799 -0.393456402177055 -0.451461098451794 -0.507109768565555 -0.501290499908646 0.276526397258064 -0.018250712002498 -0.108875750766129 -0.319595856634677 -0.031767626453629 -0.342244602873911 0.939130584415323 -0.189780957912097 -0.0264384787160887 -0.977866512903226 -0.967576257318548 -0.959918772116935 0.0731737339316129 0.00998238899389113 0.00123049294354839 -0.230634921260282 -0.0986195505663911 -0.521739457217742 -0.0433151675165726 -0.0647420858230101 0.0917220728034476 -0.49123325066129 -0.40313354348629 -0.382048326903226 -0.0878835560618952 -0.0452121990068548 -0.0579666753374798 -0.413270422316532 -0.536563346574597 -0.463647341954839 -0.185612933587746 -0.355577474335887 -0.355577474335887 -0.185612933587746 -0.237173351544978 -0.198067072712843 -0.318522629716532 -0.436169354776008 -0.486469326477823 -0.525913731689919 -0.294540792568548 -0.0479779302057258 -0.3951612810625 -0.331205812727218 -0.0866828255034476 -0.366538572371935 -0.286425196154032 -0.163611924388669 -0.492933167243952 -0.242420560580565 -0.0888750052252419 -0.549313653548387 -0.362109013486694 -0.425951988348931 -0.338214254380242 -0.533422340395161 -0.396217017188105 -0.455425174120968 -0.277965865165121 -0.505450664375 -0.200266603682944 -0.201670204510645 -0.448021014490363 -0.52913161384879 -0.53629723682746 -0.546820470782661
"WALKING_UPSTAIRS" 0.261929527252004 -0.0266470525735974 -0.120423564420037 -0.221072445907903 -0.000348031582171478 -0.140363752818472 0.872378174930103 -0.28691577583411 -0.148313217708166 -0.946344178769804 -0.925389766076421 -0.899679890894688 0.0781685444347158 0.0104508404666636 -0.0055333909217521 -0.355849488668406 -0.328541506919935 -0.622193012661696 0.0209240364789655 -0.0969463358755993 0.0491202105442125 -0.461445663370363 -0.321570850665424 -0.238455522894334 -0.115634379434529 -0.0393221127075303 -0.0519831673859832 -0.542672583806617 -0.661038928760485 -0.56399488868932 -0.0754501490696831 -0.235551736910382 -0.235551736910382 -0.0754501490696831 -0.38127785952479 -0.38735343572274 -0.165519411338164 -0.303978179337558 -0.601125454923672 -0.664181538692451 -0.285477495368322 -0.12240638059096 -0.352435071945573 -0.198615524473914 -0.00557541172054054 -0.105928929517437 -0.384993618073159 -0.35481868269617 -0.586735444993476 -0.384103045858527 -0.346762525466654 -0.656696754193849 -0.387804415129357 -0.445290581715704 -0.297544907199814 -0.489514621167474 -0.266935034348369 -0.293684227338677 -0.248835990713271 -0.349171321564772 -0.353468006783504 -0.439910272754185 -0.429560837457409 -0.346609728583225 -0.655382609368593 -0.701593753741845 0.263126445989384 -0.0242744604190291 -0.120798485155414 -0.276529588909979 -0.0517638240820382 -0.255380107800849 0.880983929469214 -0.268759574031847 -0.123669693229008 -0.95239939104034 -0.925912647367304 -0.906976117919321 0.0734505822969214 0.00490440295949045 -0.00709425056157112 -0.372285856288747 -0.36356830989087 -0.638159602229299 -0.0252961131944798 -0.0693319879901062 0.0844374813053079 -0.4816437891862 -0.395856447426093 -0.234132446747091 -0.104105469604607 -0.0370180926612527 -0.0539430325613588 -0.576962412908705 -0.681691906666667 -0.554141881365605 -0.156596937200552 -0.282505793501648 -0.282505793501648 -0.156596937200552 -0.412947118942675 -0.380950968793418 -0.20735406242569 -0.41269395604845 -0.623815676008493 -0.67288561866242 -0.311470643287898 -0.163527702472505 -0.403859087158599 -0.265071335268684 -0.058797927424034 -0.239259921773609 -0.401066805742038 -0.38710223800034 -0.602911767919321 -0.400132176654225 -0.382397128219958 -0.672740221974522 -0.408927905006157 -0.491062764201911 -0.295292222497452 -0.508328984061571 -0.352975477855626 -0.288298632743737 -0.292081504854565 -0.39041721744586 -0.355087381332696 -0.421213315287049 -0.495846446322718 -0.460677679282378 -0.666239280021231 -0.706477443375796
"WALKING_DOWNSTAIRS" 0.288168888475659 -0.0163701864217556 -0.105860325152107 0.139846824303926 0.079183931731927 -0.168367906550132 0.924336230375254 -0.167095144852028 -0.0521996569589989 -0.948808651206897 -0.934591624918864 -0.909636090415821 0.0882069647409736 0.00243695730748479 -0.00887530540913793 -0.0081975248379716 -0.0618724537659239 -0.373529594680882 -0.0766623641270639 -0.0559099218163377 0.0939252913958722 -0.316944038169878 -0.306181913257404 -0.26144603615071 -0.0742508688621095 -0.0519342665009533 -0.052917414205284 -0.374000213890974 -0.444762616614097 -0.318832476117718 0.137366108163682 0.144636835872059 0.144636835872059 0.137366108163682 -0.0896983345591278 0.00319743123002028 -0.104601976301298 -0.227265452316329 -0.397171015459939 -0.430866415856653 0.0713559405859939 0.0737650952372211 -0.192976080589219 0.161841907222363 0.0116440806198682 -0.224422769657505 -0.0476361590971602 -0.105878566493306 -0.314602839812373 -0.0578981617975233 -0.0790313050466197 -0.432035778998519 -0.201783634086511 -0.28679197429716 -0.152922530932251 -0.358229126788915 -0.32730982482787 -0.370165715908925 0.171065464344219 -0.0519754917174949 0.027554426056359 -0.0387999123583974 -0.266010319105811 -0.341661716555527 -0.423414186458479 -0.483144255183296 0.288062900461905 -0.0161751510247702 -0.105529914174286 0.00902022030214286 0.0134523978078571 -0.243477099060119 0.931437114714286 -0.171822241287476 -0.038043391203381 -0.951956040880952 -0.933501819642857 -0.919091320238095 0.0916206223598452 -0.00322121589102381 -0.00838420495773809 -0.0941815286700238 -0.101380895052357 -0.424200745914286 -0.101341612095476 -0.0461447231649762 0.0964457295442619 -0.373429876892857 -0.418157975061905 -0.299487958953952 -0.0695720976611905 -0.0496904002757143 -0.0588719525257143 -0.403089544085476 -0.515669184902381 -0.344353104702143 0.0164621317664286 0.0504083176412857 0.0504083176412857 0.0164621317664286 -0.163692387624738 -0.0450688652907857 -0.188907287860786 -0.308151790967905 -0.463187856659524 -0.464553224377857 -0.0494806268985714 0.0165795902297619 -0.262449728171024 0.0282587765922857 -0.0548990607438095 -0.296229623796381 -0.130190510361712 -0.141035351083571 -0.376826510175 -0.139219708816221 -0.120492087281667 -0.470596619978571 -0.255811666394548 -0.389901050633571 -0.195446042195476 -0.414798335411905 -0.442949501905 -0.404459674067143 0.0766089178870952 -0.130476071203333 -0.0487443964492857 -0.0504212059297857 -0.344731299676667 -0.407172196497619 -0.472266338783095 -0.494187116095476
"SITTING" 0.273448998825428 -0.0121426088459798 -0.106580744993313 -0.983449562153966 -0.936208179940381 -0.939274193888803 0.870899899300156 0.122785136286184 0.162123894662294 -0.979064977083981 -0.957651371119751 -0.947177473594868 0.0757738529781182 0.00497487103109658 -0.00186788827412442 -0.985544794618974 -0.974649826034215 -0.982526224152411 -0.0378305948293904 -0.0728027807545334 0.0784742074521695 -0.981262834082426 -0.966305793009331 -0.958891866041991 -0.0959456649824261 -0.0405964730900187 -0.0513023722602862 -0.98658476348367 -0.986654023623639 -0.984164647052877 -0.955067543234837 -0.939365758525816 -0.939365758525816 -0.955067543234837 -0.982966618413686 -0.9794403344479 -0.94742138466563 -0.950857575620529 -0.988248275785381 -0.984886442970451 -0.983235173297045 -0.948783229545879 -0.957480579844479 -0.983675290902022 -0.933948759256143 -0.934534156082426 -0.985698027869362 -0.974807063335925 -0.979854031073095 -0.986724182511664 -0.976387838265941 -0.983830467869362 -0.977875242783826 -0.972183939828927 -0.961503434618974 -0.98248034318818 -0.963557481329705 -0.961967228561431 -0.952673262657854 -0.941966512135303 -0.979261088468118 -0.978627076430793 -0.964102259572317 -0.951296691880249 -0.985679431041991 -0.984677767993779 0.272039760352342 -0.0141221515132994 -0.102730909698778 -0.983437472749491 -0.9314033418778 -0.938215184142566 0.9028616299389 0.071857995734034 0.131904738775356 -0.981298906069246 -0.957728709456212 -0.947828792947047 0.076153849587169 0.00523557345498982 -0.00410731471661263 -0.983563065824847 -0.971875152668024 -0.981694772077393 -0.0400046946661914 -0.0703346296040733 0.0759514418063747 -0.980391992382892 -0.967761899022403 -0.955691205600815 -0.0948832319185336 -0.0412598892004073 -0.0493232638925051 -0.983401234236253 -0.986105054114053 -0.982864892851324 -0.953534394704684 -0.9392153100611 -0.9392153100611 -0.953534394704684 -0.981076791425662 -0.977510406741344 -0.944897951527495 -0.952093296334012 -0.986915690997963 -0.983877373299389 -0.982716887922607 -0.945651716354379 -0.955853613588595 -0.983935781955193 -0.928826696148676 -0.933819490450509 -0.983854947474542 -0.971843441731161 -0.978797028004073 -0.984772635397149 -0.974082505132383 -0.98325268293279 -0.975674870224033 -0.973174330101833 -0.959785362179226 -0.981948078452138 -0.965280836802444 -0.958576115132383 -0.951721972551935 -0.94208825496945 -0.977173862342159 -0.976917733543788 -0.964803846456212 -0.95254545598778 -0.984435176130346 -0.98400311509165
"STANDING" 0.279293757074236 -0.0161230846636681 -0.10732962785709 -0.985346233195051 -0.936013307409025 -0.942359763042212 0.940855692081514 -0.182159165492402 -0.0273917941389855 -0.988270207540029 -0.970754316870451 -0.955334333173217 0.07485715063377 0.00877429407298399 -0.00387217635462227 -0.981622950225619 -0.96660630371179 -0.980575465705968 -0.0263231980185808 -0.0660746057299709 0.0787782501328239 -0.950981475866084 -0.96414183628821 -0.960106905407569 -0.0994459157848617 -0.0424437794962882 -0.0518025512964192 -0.969492009825327 -0.98204418555313 -0.978999994272198 -0.95678885018195 -0.949050271871907 -0.949050271871907 -0.95678885018195 -0.978738869002911 -0.973516388609898 -0.947207964796215 -0.935924401841339 -0.980589908020378 -0.976113861921397 -0.982912890618632 -0.946150893748181 -0.959054674475983 -0.986574413391557 -0.934624538980349 -0.938062292598253 -0.981626816149927 -0.966931953151383 -0.977422716790393 -0.983361688056769 -0.968763727401747 -0.982416433216885 -0.949080252780204 -0.968026748042213 -0.961498605240175 -0.952324284970888 -0.962401947845706 -0.96344778356623 -0.958227593384279 -0.951799775699709 -0.973202412219796 -0.972900383770015 -0.952814999133916 -0.936800772816594 -0.97750742639738 -0.975822682598253 0.278791235789474 -0.0162262731035301 -0.10466868287406 -0.982080518496241 -0.923457376973684 -0.933595536629699 0.943091097537594 -0.189637522767538 0.0204009151990789 -0.987356506654135 -0.96572940268797 -0.947266767753759 0.075468957712782 0.00888523101716541 -0.00641548605615977 -0.975695739736842 -0.958496662406015 -0.976671984022556 -0.0276270984325752 -0.0719404272818233 0.0836650240665414 -0.931444571390977 -0.953936289642857 -0.949165841541353 -0.100461129155075 -0.0419899598712406 -0.0528522741647744 -0.960413190958647 -0.975663792180451 -0.972075062631579 -0.947440893270677 -0.940038000263158 -0.940038000263158 -0.947440893270677 -0.972931858515038 -0.966123790845865 -0.929095799830827 -0.91301937112782 -0.973808504699248 -0.966851556766917 -0.978289100733083 -0.935336432838346 -0.952981901785714 -0.984014116334586 -0.922115261618421 -0.928665948665414 -0.975829558834586 -0.958388878139098 -0.972891029661654 -0.977860039473684 -0.961841590695489 -0.979166264097744 -0.929640505827068 -0.958267475281955 -0.950343429605263 -0.933147031785714 -0.952000106052632 -0.953564673195489 -0.949774215169173 -0.943924405018797 -0.965635777255639 -0.965905446015038 -0.935236448120301 -0.914716719605263 -0.968115551522556 -0.967361696372181
"LAYING" 0.26919100708877 -0.0183452479771855 -0.107168709636461 -0.959475238302061 -0.937608935448472 -0.941635287283866 -0.370854938686567 0.632926187069652 0.57557155056091 -0.941599380704335 -0.957061403069012 -0.943600986262971 0.0815722575616205 0.0113483623410661 -0.00532249999608209 -0.980429538464819 -0.970716016723525 -0.979334766545842 -0.0167611908027991 -0.091660815198081 0.127147917707889 -0.965341869218905 -0.963438605707178 -0.961435198422175 -0.102019624959062 -0.0382683832088763 -0.0639964642257285 -0.975493723411514 -0.981437634278607 -0.984583429004975 -0.933298701817342 -0.925425270312722 -0.925425270312722 -0.933298701817342 -0.979067883653163 -0.974099433837953 -0.935764661371713 -0.937939730744847 -0.983166670739161 -0.977324912189055 -0.96623357050462 -0.948790913989339 -0.956210691862118 -0.957307907502701 -0.936034910177683 -0.938502036889055 -0.980189178550107 -0.97089486137882 -0.97631433684435 -0.98256876949538 -0.972728982835821 -0.981007056687989 -0.960446780433049 -0.968139785280739 -0.962619007583511 -0.967206952885572 -0.961463062750533 -0.964692895927505 -0.943950932251599 -0.927962071920256 -0.9741812297086 -0.97302950880597 -0.953724931549396 -0.939025835269367 -0.978582414975124 -0.977124064577114 0.267227589560521 -0.0182456228329236 -0.108134996675233 -0.964750344692737 -0.958961259925512 -0.964927132290503 -0.385937754614525 0.594350912979516 0.503317463620112 -0.947827229962756 -0.979253784934823 -0.973531121975791 0.0825682671290503 0.0107112016761881 -0.00364736361863873 -0.980256750707635 -0.972278279683426 -0.979848204692737 -0.0166314081294004 -0.0979956312043575 0.122576525847486 -0.974575194841713 -0.962547564208566 -0.968943417318436 -0.101457328947858 -0.03801389731527 -0.0634655948080075 -0.977778340986965 -0.977947653873371 -0.985304182718808 -0.961578850614525 -0.949805818519553 -0.949805818519553 -0.961578850614525 -0.979577853575419 -0.974610375400372 -0.945435104413408 -0.94755611895717 -0.981573659888268 -0.975261643500931 -0.968327808193668 -0.962864108901304 -0.969993645065177 -0.963547345810056 -0.959297968620112 -0.964355421625698 -0.980219864897579 -0.972664254394786 -0.977401070260708 -0.982173560986965 -0.973895600260708 -0.980879842532588 -0.969382140558659 -0.966120752178771 -0.968285986927374 -0.976403305605214 -0.961109421824953 -0.972050234487896 -0.957424189783985 -0.953138504479888 -0.974611609068901 -0.973586610782123 -0.957813942756052 -0.95021154301676 -0.976359034581006 -0.975401442439479
"1" 0.264888601874416 -0.0187029224483098 -0.108033276069069 -0.568855564093838 -0.389504393658203 -0.52094113802767 0.729803199888176 -0.0694361680989835 0.0798861702943462 -0.959699683062019 -0.951281795384142 -0.92622397412573 0.0774330643680097 0.0160579742723349 -0.00849205969133642 -0.546320593674823 -0.489668613237795 -0.731058323692047 -0.0210700642248065 -0.0867951364713565 0.0870506924627458 -0.697841156833681 -0.472879296077033 -0.616043967218847 -0.0975765379882403 -0.0416894401976614 -0.047971248259558 -0.648130204363894 -0.65089674491141 -0.6804084918752 -0.476536834061 -0.51810716006521 -0.51810716006521 -0.476536834061 -0.565280676590236 -0.536532043814951 -0.496589479822716 -0.517124181466448 -0.654740286240195 -0.66638457682837 -0.554764754408019 -0.428167535174403 -0.613043787534283 -0.576147614440844 -0.410492277826254 -0.516021650904264 -0.568514774947983 -0.526000434848428 -0.710189940550806 -0.564068510675064 -0.484839885173502 -0.750455107717904 -0.636433348579018 -0.526675085252976 -0.574175418347312 -0.7188464965229 -0.451504575726227 -0.666569653429204 -0.501583520074115 -0.606271070102303 -0.521023689997851 -0.560427894198126 -0.552608430873826 -0.580413106049301 -0.660977458326081 -0.698155649084644 0.27426372076874 -0.0179881803722275 -0.108573932529054 -0.574202829107349 -0.443784206567478 -0.593699267354336 0.717137918205708 -0.0405071628820304 0.0703651534653233 -0.968329789615952 -0.957580796441986 -0.945678253532163 0.0776956467620822 0.00694114988827589 -0.00389532600455512 -0.577491368639757 -0.534988432093331 -0.736281255712974 -0.0404412730462133 -0.070343980980648 0.0926161406116114 -0.690397530662526 -0.659057178331102 -0.613888283593796 -0.0932043808750958 -0.0423564368068949 -0.0563398718308454 -0.69208662829807 -0.757886881281932 -0.698608271969024 -0.508552041118703 -0.564750441662554 -0.564750441662554 -0.508552041118703 -0.592715783256253 -0.560568427098612 -0.57065453555725 -0.646147670545726 -0.72965560550366 -0.745323761080096 -0.579285854066835 -0.468715856005799 -0.638668217978633 -0.573610379744823 -0.467683159692142 -0.602904858451373 -0.60148560686491 -0.561176757538888 -0.716072395316926 -0.59106248662287 -0.538459717092823 -0.75531876075351 -0.628218655270464 -0.677871822284162 -0.598840911187942 -0.711701691716511 -0.652987611923509 -0.65630398508305 -0.546074806303442 -0.645224139443166 -0.557711976654671 -0.567815379693987 -0.672977555587435 -0.691500511752849 -0.748603134492441 -0.759696033977574
"3" 0.273262002563287 -0.01768831863365 -0.106118703722391 -0.648010884529763 -0.506288136580182 -0.670254403623311 0.689493912356916 -0.0092547061114634 0.0594745911523962 -0.967475803586735 -0.945618390598047 -0.928348909283734 0.0705239761303403 0.0142426288532254 -0.000831061931743838 -0.658073942785381 -0.580356981526967 -0.806633088260488 -0.023254708715832 -0.0748781776115958 0.0869370101071986 -0.717436408993279 -0.77448506085794 -0.723437754816495 -0.0994934048708167 -0.0402965579726705 -0.0524742122013606 -0.707084148794229 -0.850426563865036 -0.758738264226168 -0.587918704926003 -0.615067387352374 -0.615067387352374 -0.587918704926003 -0.670397744392067 -0.62997866834794 -0.662676461431351 -0.692356600734709 -0.796328855019921 -0.813720308605053 -0.649869778043898 -0.528038848976007 -0.71473936152053 -0.648524230658961 -0.527286041025022 -0.673571412413087 -0.668245156274429 -0.605405831250899 -0.791727771123415 -0.67859853335001 -0.582120907165057 -0.820301462312917 -0.663597329692806 -0.786395862447585 -0.688158062340148 -0.73628331916492 -0.76998581475403 -0.762344292657245 -0.604693455355817 -0.682109788718036 -0.628239509089392 -0.636144624961697 -0.733049256767711 -0.720335589961164 -0.820401034026601 -0.819004034369385 0.273643050841131 -0.0179740262171108 -0.108545513155562 -0.628168386027062 -0.521044982624363 -0.643238699810152 0.661907732209447 -0.00591039616847213 0.0938581579574858 -0.966908664075231 -0.956997555312567 -0.94461427433038 0.0782248564944263 0.00674409122945776 -0.00456484804229884 -0.643237784852257 -0.613465480773855 -0.776984980647365 -0.0386327546264552 -0.0720356642607098 0.0932535658771348 -0.729789498539526 -0.706092614098514 -0.659819938328411 -0.0944907422508258 -0.0417642675633872 -0.0562046143120976 -0.742495835223294 -0.797975996125339 -0.743811692578664 -0.57274822774661 -0.612483427860134 -0.612483427860134 -0.57274822774661 -0.658514278247253 -0.629224713186579 -0.620886505343691 -0.687847996314735 -0.773938473082249 -0.785890775892657 -0.636670071275967 -0.547093831519926 -0.686506824630288 -0.626120300172899 -0.539355782102095 -0.649445579537278 -0.661979584687164 -0.633346826419111 -0.758807723185141 -0.656328621671014 -0.618542024404304 -0.79399124919579 -0.679272554202542 -0.724608265322672 -0.650427819866671 -0.74737971820041 -0.699831620169832 -0.696017984501793 -0.602882656686704 -0.679836901697658 -0.625637186608625 -0.636803333469163 -0.71629865523443 -0.724665586680587 -0.788055375150838 -0.798770945322332
"5" 0.278959622267632 -0.0154502030021304 -0.105756628144064 -0.542199169084185 -0.432876773745927 -0.66400486373271 0.676438985114819 0.129378098146209 0.0977686807710552 -0.964884961648554 -0.941497023714572 -0.942723346961261 0.0833923263901244 0.00141593769631746 -0.00349449364450878 -0.603723139651172 -0.534477551171865 -0.79701663174394 -0.0289754368683275 -0.0769455060445027 0.0879359080771603 -0.724227890170769 -0.721455678449853 -0.627005801802051 -0.102900828424856 -0.0482440196215868 -0.0510370086444886 -0.679348634206474 -0.786693744259362 -0.590258144781528 -0.493518898970738 -0.552602843552436 -0.552602843552436 -0.493518898970738 -0.614618263694784 -0.6144450497722 -0.623359344599595 -0.680355787656005 -0.723662720035778 -0.748500178811865 -0.580827425896632 -0.469637783008388 -0.712374212922409 -0.529066069490566 -0.450764586105205 -0.6662418868004 -0.630582073212327 -0.57611659371535 -0.782016993533191 -0.611445211221564 -0.520621980598026 -0.810508269431373 -0.651415904626782 -0.733059937397314 -0.563037258145804 -0.748435411125439 -0.717818346096407 -0.685842638735945 -0.558438184223873 -0.620957977518799 -0.599768319476763 -0.637035308326811 -0.694309778033791 -0.728690163503789 -0.763104505200875 -0.748904543529364 0.274123147754325 -0.0178662700602568 -0.108332778727967 -0.619337634795169 -0.511330490949642 -0.6376543251383 0.676627763252563 -0.0141855481512528 0.0892046422510011 -0.967413773041356 -0.957261493104737 -0.94490977986615 0.0783113416884051 0.00670705785820664 -0.00449803003199861 -0.632302930118987 -0.600717238878453 -0.769665133107194 -0.0397073896220676 -0.0714435755642331 0.0931506633590544 -0.723769891970544 -0.700934572699406 -0.655741202457193 -0.0939423882001456 -0.0420211424734707 -0.056243209462867 -0.734157976467355 -0.791099773346774 -0.736041733025906 -0.563690418674206 -0.603828128764277 -0.603828128764277 -0.563690418674206 -0.647734327900624 -0.617160135967537 -0.615279537730299 -0.681754520627291 -0.766631539685359 -0.778443502420224 -0.627417911376867 -0.535719806220541 -0.679482770838245 -0.617483851602789 -0.531092786163482 -0.645048150040978 -0.651815421660744 -0.621632837475401 -0.751143984515936 -0.645573663451985 -0.605522846610068 -0.787010831749022 -0.67128577678664 -0.717913073603836 -0.643576220189634 -0.741991806243937 -0.695541467535402 -0.693261183694478 -0.592497406198174 -0.673594351832944 -0.614067842495273 -0.624202530986763 -0.709376621502606 -0.720241253920113 -0.78095328856402 -0.791406382818591
"6" 0.272052193590887 -0.0173536538229444 -0.116356648365843 -0.54045128013871 -0.403636531027306 -0.689547725805502 0.667339174161206 0.0347396137154423 0.0505978731048003 -0.958250171402011 -0.951958915255906 -0.938132532935077 0.0810717714570944 0.00032239040482016 -0.00206377961417193 -0.561341927628641 -0.486820002196997 -0.755281175126534 -0.0411980632965395 -0.0719418478633115 0.0987419886481578 -0.674430460739854 -0.646785052499093 -0.623532897124885 -0.0850147490117639 -0.0447200533886581 -0.0539389982856682 -0.572355079777158 -0.697417171294275 -0.557257557386918 -0.49869763941577 -0.5175938688492 -0.5175938688492 -0.49869763941577 -0.579541824427755 -0.533339141904914 -0.575228292652876 -0.603760350424276 -0.645059961313902 -0.666142519474136 -0.539665221791416 -0.426294122131062 -0.701590551831998 -0.542734356886938 -0.430133977777991 -0.709397262480794 -0.578205562123635 -0.532428751210187 -0.738298290886459 -0.583603191945075 -0.471845538355574 -0.77096940346684 -0.564375344699019 -0.642909110205473 -0.537325901591311 -0.711291222008442 -0.652794602886534 -0.692068008135743 -0.50851140368728 -0.598978719476635 -0.52600022600998 -0.545889102565405 -0.603705256193833 -0.676390849631487 -0.672993151293947 -0.681038932397083 0.27386780546886 -0.0178131345563064 -0.108269442652346 -0.631984747073533 -0.526081056701344 -0.647799627109978 0.671221521857486 -0.00562907722054567 0.0941553823412656 -0.967435086490202 -0.957274919679814 -0.945028249722784 0.0782623929034696 0.00669471872726733 -0.00449994983683328 -0.645389615081647 -0.614976478114028 -0.777794134571965 -0.0392943053829745 -0.0717405965284248 0.0929344965976073 -0.732818183794401 -0.709893426472836 -0.665326471565621 -0.0941583206752702 -0.0418995055683408 -0.0561050401075126 -0.743674008400884 -0.798612930587558 -0.745304192469376 -0.57728144550178 -0.615773668121802 -0.615773668121802 -0.57728144550178 -0.660298079216828 -0.63086718814445 -0.626121091396691 -0.691176348704853 -0.774996226903361 -0.786438205329196 -0.63999898484436 -0.550673420227671 -0.689350841987852 -0.630116919958991 -0.544782354160685 -0.654517067555195 -0.664127587075262 -0.634989422789168 -0.759813226496243 -0.658277096707608 -0.619793560237345 -0.794595980691672 -0.682257127516025 -0.727034585871763 -0.654468665486033 -0.750383803376991 -0.704310041887306 -0.701477251065514 -0.605634400796235 -0.682943458334951 -0.627694725033041 -0.637868516866405 -0.718614669840834 -0.728098982901952 -0.788784908256094 -0.799023375583743
